primary_condition,n_drugs,mean_divergence,n_patient_worse,n_faers_worse
birth control,46,2.2542953636522127,32,1
plaque psoriasis,5,1.4751993800282195,3,0
high cholesterol,12,1.1741042204134537,2,0
emergency contraception,6,1.136337387751822,2,0
vaginal yeast infection,8,1.0467765342661217,3,0
acne,17,0.9191851049011053,5,0
breast cance,6,0.9160998015360433,0,0
adhd,20,0.8159288929356551,1,1
depression,28,0.7655200562526226,2,0
obesity,7,0.7615967398240614,0,0
narcolepsy,6,0.42824145520988033,0,0
overactive bladde,12,0.41096041382946663,0,0
migraine,15,0.3970657379957737,0,0
urinary tract infection,6,0.362975340198517,0,0
osteoporosis,6,0.33172605330496746,0,0
sinusitis,6,0.24496156944811065,0,0
migraine prevention,5,0.18734553155830375,0,0
"diabetes, type 2",18,0.18475960683557713,2,0
ibromyalgia,6,0.15159676892062837,0,0
multiple sclerosis,10,0.08018470657969415,0,0
bipolar disorde,27,0.0601608277608811,0,0
constipation,6,-0.10248529982994492,0,0
irritable bowel syndrome,8,-0.10770176985886168,0,0
psoriasis,5,-0.16843378674259235,0,0
muscle spasm,12,-0.3130740846825589,0,0
"constipation, chronic",5,-0.32927534105346107,0,1
rosacea,7,-0.3674695779049875,0,0
allergic rhinitis,13,-0.3811192420814588,0,0
rheumatoid arthritis,14,-0.39824573153673903,0,0
"asthma, maintenance",6,-0.40378953404068096,0,0
insomnia,20,-0.5973658595801754,0,1
seizures,8,-0.6211463493723604,0,0
high blood pressure,20,-0.8905024412673693,0,1
pain,32,-0.9092657213642956,1,4
motion sickness,5,-1.0476156804877057,0,2
anxiety,17,-1.3014891109245494,0,4
erectile dysfunction,6,-1.5090287928283728,0,2
gerd,14,-1.8234658095490557,0,6
cold sores,5,-1.9338847939442911,0,1
