drugName_clean,n_reviews,patient_mean,patient_expected,patient_std,pct_high,pct_none,drug_name,log_reports,serious_rate,death_rate,hosp_rate,lifethreat_rate,disability_rate,no_faers,faers_severity,patient_z,faers_z,divergence_z,flag,ci_lo,ci_hi,ci_width
abreva,205,1.1073170731707318,1.1689238653679106,0.42645193414085775,0.06341463414634146,0.16585365853658537,abreva,9.583282288378786,0.0191631626111532,0.0006198774020249,0.009091535229699,0.0004821268682416,0.0003443763344582,0,0.01154135872893438,0.1163628559443379,-2.411387231026448,2.527750086970786,patient-worse-than-FAERS,1.112596674921389,1.2248379252021147,0.11224125028072574
acamprosate,143,0.35664335664335667,0.6598019737322584,0.4560887418512112,0.04195804195804196,0.7972027972027972,acamprosate,5.749392985908253,0.8466453674121406,0.108626198083067,0.4600638977635782,0.0287539936102236,0.0,0,0.6156549520766772,-1.927669454525459,0.9009738292794447,-2.8286432838049036,FAERS-worse-than-patient,0.588919412199149,0.738614705339046,0.14969529313989705
accutane,439,1.6469248291571754,1.6211095425914657,0.5211223089872411,0.19134396355353075,0.12300683371298406,accutane,10.263153020397368,0.6493560883677102,0.024357900614182,0.1288735343383584,0.0167853154662199,0.0332914572864321,0,0.32033376676715264,1.9318065635546675,-0.7182752743234395,2.650081837878107,patient-worse-than-FAERS,1.5731235353584139,1.671371409927846,0.09824787456943218
aciphex,43,0.37209302325581395,0.7765548801330429,0.613070891367594,0.06976744186046512,0.7906976744186046,aciphex,10.201553030367595,0.8067629263947144,0.124480403800475,0.3203310570071259,0.0423099762470308,0.0321407363420427,0,0.5830213066595068,-1.4589276523260664,0.7220432150274935,-2.18097086735356,FAERS-worse-than-patient,0.6005350011138831,0.9452519551650743,0.3447169540511912
acyclovir,136,0.5808823529411765,0.7654937660390645,0.5515174248235782,0.07352941176470588,0.6176470588235294,acyclovir,11.63413373890572,0.7256833314124104,0.1276254595384683,0.3711919209815298,0.0542410417681711,0.0173007928422731,0,0.5864298078570844,-1.5033360247990077,0.7407320622330276,-2.2440680870320353,FAERS-worse-than-patient,0.6706087293116655,0.858824621956294,0.18821589264462857
adapalene,238,1.2436974789915967,1.2931387692757088,0.3801006580675189,0.046218487394957986,0.09663865546218488,adapalene,12.113716099452022,0.0085273698410783,0.0001919333168819,0.002511584546626,0.0003399961613336,0.0003180609251185,0,0.00450057611916822,0.6150632284891919,-2.4499919146612426,3.0650551431504347,patient-worse-than-FAERS,1.2447843717192888,1.3410528831084298,0.09626851138914105
afrezza,54,0.2962962962962963,0.775731299801941,0.3783220300935567,0.018518518518518517,0.8333333333333334,afrezza,8.950532836290382,0.6992607962650759,0.0990792374529892,0.3911295551809104,0.0741797432239657,0.0354039683568927,0,0.5885488263519646,-1.46223417839516,0.7523506624860247,-2.2145848408811846,FAERS-worse-than-patient,0.6794519505720481,0.8822585338130937,0.2028065832410456
albuterol,106,0.27358490566037735,0.5524444757828976,0.4126701469755812,0.02830188679245283,0.8113207547169812,albuterol,12.582723241011214,0.5683024259889606,0.0635931356740474,0.285836323839192,0.0321705240189654,0.0251854342351738,0,0.42036824857012556,-2.3586903911319914,-0.16978517931358855,-2.188905211818403,FAERS-worse-than-patient,0.4811026240695402,0.6424748499262971,0.16137222585675692
allopurinol,48,0.3541666666666667,0.7949405749718568,0.5655287742131917,0.041666666666666664,0.7708333333333334,allopurinol,11.943161231403604,0.8215723904628696,0.1410825892131294,0.4908006581642939,0.0701868484206008,0.0281085580869011,0,0.7087801048314486,-1.3851124129533545,1.4115800018877527,-2.7966924148411074,FAERS-worse-than-patient,0.6358895796083687,0.9689836806798856,0.33309410107151693
alprazolam,923,0.4442036836403034,0.699255842705536,0.43609543822556657,0.02600216684723727,0.6446370530877573,alprazolam,12.220251646703444,0.7071205628997027,0.1638411673362746,0.3202878903650391,0.0400581696285524,0.0245692736190875,0,0.5853663086249081,-1.7692693065857705,0.7349008849790865,-2.504170191564857,FAERS-worse-than-patient,0.6706794118815264,0.7286856600599657,0.05800624817843936
